data_year,offense_code,offense_id
2019,Robbery,137979069
2019,Aggravated Assault,137979098
2019,Aggravated Assault,137974198
2019,Aggravated Assault,137975220
2019,Robbery,137971065
2019,Aggravated Assault,137971085
2019,Aggravated Assault,137980653
2019,Aggravated Assault,138056307
2019,Aggravated Assault,138052725
2019,Robbery,138048891
2019,Robbery,138052859
2019,Aggravated Assault,135922306
2019,Aggravated Assault,135468887
2019,Robbery,135522645
2019,Robbery,136015422
2019,Aggravated Assault,136016021
2019,Aggravated Assault,136010883
2019,Robbery,136026962
2019,Robbery,136027047
2019,Aggravated Assault,135920449
2019,Aggravated Assault,135933641
2019,Aggravated Assault,135934293
2019,Aggravated Assault,135930812
2019,Robbery,135930826
2019,Aggravated Assault,135941283
2019,Aggravated Assault,135935251
2019,Robbery,136025477
2019,Aggravated Assault,136030127
2019,Aggravated Assault,136036686
2019,Aggravated Assault,136031467
2019,Robbery,136030293
2019,Aggravated Assault,136036859
2019,Robbery,136030365
2019,Robbery,136030417
2019,Robbery,136030480
2019,Aggravated Assault,138057023
2019,Robbery,138057027
2019,Robbery,138053000
2019,Aggravated Assault,138053011
2019,Robbery,138053016
2019,Aggravated Assault,138053018
2019,Aggravated Assault,138053046
2019,Robbery,138053071
2019,Robbery,138053079
2019,Aggravated Assault,138057541
2019,Aggravated Assault,138053107
2019,Robbery,138053153
2019,Robbery,138057858
2019,Aggravated Assault,138057911
2019,Aggravated Assault,138053188
2019,Aggravated Assault,138010377
2019,Robbery,138026109
2019,Aggravated Assault,138027344
2019,Aggravated Assault,138010907
2019,Robbery,138032005
2019,Aggravated Assault,141779189
2019,Aggravated Assault,138032987
2019,Aggravated Assault,141787056
2019,Aggravated Assault,141784719
2019,Aggravated Assault,141743660
2019,Aggravated Assault,137991692
2019,Robbery,137982700
2019,Robbery,141743688
2019,Aggravated Assault,137992578
2019,Aggravated Assault,137992749
2019,Rape,137989000
2019,Robbery,141715098
2019,Aggravated Assault,136037696
2019,Aggravated Assault,136041242
2019,Robbery,136041282
2019,Robbery,136031884
2019,Aggravated Assault,136038426
2019,Aggravated Assault,136038582
2019,Robbery,136041630
2019,Murder and Nonnegligent Manslaughter,136032044
2019,Robbery,136038894
2019,Robbery,136041817
2019,Aggravated Assault,136041831
2019,Aggravated Assault,136032184
2019,Aggravated Assault,136042039
2019,Aggravated Assault,136032245
2019,Robbery,136032256
2019,Aggravated Assault,136042285
2019,Aggravated Assault,136042324
2019,Aggravated Assault,138034505
2019,Aggravated Assault,138034567
2019,Aggravated Assault,143643727
2019,Aggravated Assault,135935445
2019,Aggravated Assault,135946299
2019,Rape,135946404
2019,Aggravated Assault,135946483
2019,Aggravated Assault,135946834
2019,Aggravated Assault,135947039
2019,Robbery,135947252
2019,Robbery,135938577
2019,Aggravated Assault,135938586
2019,Aggravated Assault,135947382
2019,Aggravated Assault,137985110
2019,Aggravated Assault,137992993
2019,Aggravated Assault,138393581
2019,Aggravated Assault,144778637
2019,Aggravated Assault,144775931
2019,Rape,138394512
2019,Aggravated Assault,138396887
2019,Robbery,144776100
2019,Aggravated Assault,138394834
2019,Aggravated Assault,138394908
2019,Robbery,138396910
2019,Aggravated Assault,138394965
2019,Aggravated Assault,144778933
2019,Aggravated Assault,138396956
2019,Aggravated Assault,138397328
2019,Robbery,138407841
2019,Aggravated Assault,138404771
2019,Aggravated Assault,138398335
2019,Aggravated Assault,135943215
2019,Aggravated Assault,135943746
2019,Robbery,135943899
2019,Aggravated Assault,135948468
2019,Aggravated Assault,135948554
2019,Robbery,136032414
2019,Robbery,136040234
2019,Aggravated Assault,136032535
2019,Robbery,136040496
2019,Robbery,136040529
2019,Aggravated Assault,136040801
2019,Aggravated Assault,136040972
2019,Aggravated Assault,136043054
2019,Robbery,136046177
2019,Aggravated Assault,136046339
2019,Aggravated Assault,136046542
2019,Aggravated Assault,136046567
2019,Aggravated Assault,136046957
2019,Aggravated Assault,136047138
2019,Robbery,136033224
2019,Rape,136043726
2019,Robbery,136043756
2019,Aggravated Assault,136047368
2019,Robbery,136047398
2019,Aggravated Assault,136043922
2019,Aggravated Assault,136043931
2019,Aggravated Assault,136044469
2019,Robbery,136044601
2019,Robbery,135487650
2019,Aggravated Assault,135488608
2019,Aggravated Assault,135922959
2019,Aggravated Assault,135923397
2019,Aggravated Assault,138405953
2019,Aggravated Assault,138406026
2019,Aggravated Assault,138406085
2019,Aggravated Assault,138398808
2019,Robbery,138398891
2019,Robbery,138398911
2019,Robbery,138027154
2019,Aggravated Assault,138010559
2019,Aggravated Assault,138032192
2019,Aggravated Assault,138032453
2019,Aggravated Assault,138028444
2019,Robbery,138036991
2019,Rape,138028848
2019,Aggravated Assault,138033593
2019,Aggravated Assault,138037465
2019,Robbery,137986654
2019,Aggravated Assault,137981102
2019,Aggravated Assault,137981461
2019,Aggravated Assault,138057969
2019,Aggravated Assault,138053229
2019,Aggravated Assault,138053236
2019,Robbery,138053256
2019,Robbery,138058345
2019,Aggravated Assault,138053321
2019,Robbery,138053340
2019,Aggravated Assault,138053369
2019,Robbery,146007930
2019,Aggravated Assault,146000262
2019,Aggravated Assault,146027044
2019,Murder and Nonnegligent Manslaughter,146027043
2019,Rape,138040367
2019,Rape,148768361
2019,Aggravated Assault,135971364
2019,Aggravated Assault,135971376
2019,Rape,135967134
2019,Aggravated Assault,135976256
2019,Robbery,135971659
2019,Aggravated Assault,135546822
2019,Aggravated Assault,135678977
2019,Robbery,138052447
2019,Aggravated Assault,138033677
2019,Rape,143728312
2019,Aggravated Assault,135940321
2019,Aggravated Assault,135950475
2019,Rape,138047348
2019,Aggravated Assault,138043637
2019,Aggravated Assault,138047357
2019,Aggravated Assault,138041087
2019,Robbery,138041097
2019,Rape,138044418
2019,Aggravated Assault,138051598
2019,Robbery,138045152
2019,Rape,137976277
2019,Aggravated Assault,137972831
2019,Aggravated Assault,137973200
2019,Aggravated Assault,137973211
2019,Aggravated Assault,137969895
2019,Aggravated Assault,137978457
2019,Aggravated Assault,137973785
